description,main_group,anomaly_type,anomaly_decision_score,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium,calcium,vitamin_c
"Almonds, honey roasted",Condiments & Sauces,Extreme Macro Imbalance,-0.0012179841437781613,607.86,14.11,35.84,45.34,7.3,25.01,385,181,0.0
Brazil nuts,Other,Extreme Macro Imbalance,-0.05069114244159412,708.14,14.32,11.74,67.1,7.5,2.33,3,160,0.7
Hazelnuts,Other,Extreme Macro Imbalance,-0.05629421431041859,673.35,14.95,16.7,60.75,9.7,4.34,0,114,6.3
Macadamia nuts,"Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.024083834380416835,767.2,7.79,12.83,76.08,8.0,4.14,353,70,0.7
"Mixed nuts, unroasted",Other,Extreme Macro Imbalance,-0.016073220460163795,647.69,16.96,23.17,54.13,7.6,4.66,7,139,0.9
"Mixed nuts, with peanuts, unsalted",Other,Extreme Macro Imbalance,-0.010848514096531536,650.25,19.74,21.21,54.05,7.6,4.57,6,94,0.4
"Mixed nuts, without peanuts, unsalted",Other,Extreme Macro Imbalance,-0.013991795667789741,655.46,16.44,22.46,55.54,7.4,4.52,7,135,0.9
"Peanuts, NFS",Fast Food & Prepared,Extreme Macro Imbalance,-0.004965738740291159,629.38,24.35,21.26,49.66,8.4,4.9,410,58,0.0
"Peanuts, unroasted",Other,Extreme Macro Imbalance,-0.02010462649381317,610.88,25.8,16.13,49.24,8.5,4.72,18,92,0.0
"Peanuts, roasted, salted",Other,Extreme Macro Imbalance,-0.02347740671748766,645.66,28.03,15.26,52.5,9.4,4.18,320,61,0.8
"Peanuts, roasted, unsalted",Other,Extreme Macro Imbalance,-0.02886413794294307,645.66,28.03,15.26,52.5,9.4,4.18,6,61,0.8
"Peanuts, dry roasted, salted",Other,Extreme Macro Imbalance,-0.004965738740291159,629.38,24.35,21.26,49.66,8.4,4.9,410,58,0.0
"Peanuts, dry roasted, lightly salted",Other,Extreme Macro Imbalance,-0.0053637486477382534,626.21,24.23,21.15,49.41,8.4,4.88,199,58,0.0
"Peanuts, dry roasted, unsalted",Other,Extreme Macro Imbalance,-0.012799040854444388,629.38,24.35,21.26,49.66,8.4,4.9,6,58,0.0
"Pecans, NFS",Fast Food & Prepared,Extreme Macro Imbalance,-0.05758587981071672,739.85,9.17,13.86,71.97,9.6,3.97,0,70,1.1
"Pecans, unroasted",Other,Extreme Macro Imbalance,-0.05758587981071672,739.85,9.17,13.86,71.97,9.6,3.97,0,70,1.1
"Pecans, salted",Other,Extreme Macro Imbalance,-0.045403031677742844,737.29,8.81,13.31,72.09,9.2,3.81,383,68,1.1
"Pecans, unsalted",Other,Extreme Macro Imbalance,-0.062062734953660326,744.65,8.9,13.44,72.81,9.3,3.85,0,68,1.1
Pine nuts,Other,Extreme Macro Imbalance,-0.012123831696806642,722.41,13.69,13.08,68.37,3.7,3.59,2,16,0.8
"Pistachio nuts, NFS","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.029685721193580816,609.7,21.05,28.28,45.82,10.3,7.74,6,107,3.0
"Pistachio nuts, salted","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.019295778162592203,612.34,20.22,27.16,46.98,9.9,7.43,389,103,2.9
"Pistachio nuts, lightly salted","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.02011147149941339,615.37,20.32,27.3,47.21,9.9,7.47,198,104,2.9
"Pistachio nuts, unsalted","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.02927126093802146,618.36,20.42,27.43,47.44,10.0,7.51,6,104,2.9
"Walnuts, excluding honey roasted",Condiments & Sauces,Extreme Macro Imbalance,-0.023659624470313445,702.65,15.23,13.71,65.21,6.7,2.61,2,98,1.3
Almond butter,Dairy & Eggs,Extreme Macro Imbalance,-0.047526710444355524,658.62,20.96,18.82,55.5,10.3,6.27,227,347,0.0
"Almond butter, lower sodium",Dairy & Eggs,Extreme Macro Imbalance,-0.052355834251293976,658.62,20.96,18.82,55.5,10.3,6.27,115,347,0.0
"Peanut butter, lower sugar",Dairy & Eggs,Extreme Macro Imbalance,-0.003018481058619904,650.13,24.8,14.23,54.89,7.8,6.35,292,72,0.0
Soy nut butter,Dairy & Eggs,Extreme Macro Imbalance,-0.047526710444355524,658.62,20.96,18.82,55.5,10.3,6.27,227,347,0.0
"Pumpkin seeds, NFS",Vegetables,Extreme Macro Imbalance,-0.009764772684562995,619.65,29.84,14.71,49.05,6.5,1.29,18,52,1.8
"Pumpkin seeds, unsalted",Vegetables,Extreme Macro Imbalance,-0.009764772684562995,619.65,29.84,14.71,49.05,6.5,1.29,18,52,1.8
"Sunflower seeds, plain, unsalted","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.0240855117319001,621.8,19.33,24.07,49.8,11.1,2.73,3,70,1.4
"Sunflower seeds, plain, salted","Legumes, Nuts & Seeds",Extreme Macro Imbalance,-0.010303546358351401,614.41,19.1,23.78,49.21,11.0,2.7,462,70,1.4
