description,food_cluster,calories,protein,carbohydrate,fat_total_lipid,fiber,sugar_total,sodium
"Fruit smoothie juice drink, with dairy",0,64.9,0.86,15.05,0.14,0.9,12.68,14
Chocolate milk drink,0,48.9,0.64,10.68,0.4,0.6,8.68,91
"Infant formula, NFS",0,66.0,1.38,7.12,3.56,0.0,7.12,20
"Infant formula, NS as to form (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",0,67.0,1.8,6.77,3.63,0.0,4.4,29
"Infant formula, NS as to form (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, ready-to-feed (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, powder, made with water, NFS (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, liquid concentrate, made with tap water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,18
"Infant formula, liquid concentrate, made with baby water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,16
"Infant formula, powder, made with tap water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, powder, made with plain bottled water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,18
"Infant formula, powder, made with baby water (Similac Advance)",0,65.5,1.37,6.87,3.62,0.0,6.87,16
"Infant formula, NS as to form (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, ready-to-feed (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, powder, made with water, NFS (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, powder, made with tap water (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,19
"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,18
"Infant formula, powder, made with baby water (Similac Advance Organic)",0,65.5,1.37,6.87,3.62,0.0,6.87,16
"Infant formula, NS as to form (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, ready-to-feed (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, powder, made with water, NFS (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,22
"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,20
"Infant formula, powder, made with tap water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,23
"Infant formula, powder, made with plain bottled water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,22
"Infant formula, powder, made with baby water (Similac Sensitive)",0,65.3,1.4,6.99,3.53,0.0,6.99,20
